AU,TI,PY,AB,DE,TC
Siemens G; Baker RS,Learning analytics and educational data mining for student success,2012,Learning analytics combines educational data mining techniques to analyze student behaviors and improve academic decision making through evidence based approaches.,learning analytics; educational data mining; student success,850
Romero C; Ventura S,Educational data mining: A review of the state of the art,2010,This study reviews educational data mining methods used to discover patterns from educational environments and support institutional decisions.,educational data mining; machine learning; higher education,3200
Lakkaraju H; Aguiar E,A machine learning approach to identifying at-risk students,2015,This research develops predictive models to identify students at academic risk using demographic and performance variables.,machine learning; risk prediction; students,450
Kotsiantis S,Supervised machine learning techniques for classification problems,2007,The article reviews supervised learning algorithms and their applications for predictive classification tasks.,supervised learning; classification; prediction,2800
Cortez P; Silva A,Using data mining to predict student performance,2008,Data mining methods are applied to predict student outcomes and identify factors affecting academic achievement.,data mining; academic performance; prediction,2100
Delen D,A comparative analysis of machine learning techniques for student retention,2010,Machine learning algorithms are compared to identify students likely to leave educational programs.,student retention; machine learning; analytics,900
Waheed H; Hassan SRUL,Predicting academic performance using machine learning techniques,2020,The study evaluates different algorithms to predict academic outcomes and support educational interventions.,machine learning; academic prediction; artificial intelligence,600
Albreiki B; Zaki N,Artificial intelligence techniques for predicting student dropout,2021,Artificial intelligence models are explored to detect dropout risk and create early warning systems in universities.,artificial intelligence; dropout prediction; higher education,250
Sarker IH,Machine learning: Algorithms and real world applications,2021,The paper discusses machine learning approaches and their practical applications including educational analytics.,machine learning; artificial intelligence; applications,1800
Khan A; Ghosh S,Student dropout prediction using machine learning models,2022,This research applies predictive algorithms to identify university students with high probability of dropout.,dropout prediction; neural networks; education,120
Rovira C; Puertas E,Natural language processing in educational research,2023,Natural language processing techniques are used to analyze educational documents and extract meaningful patterns.,NLP; text mining; education,90
Devlin J; Chang M,BERT: Pre-training of deep bidirectional transformers for language understanding,2019,"This paper introduces BERT, a transformer architecture that improves natural language processing through contextual representations.",BERT; transformers; NLP,70000
Vaswani A; Shazeer N,Attention is all you need,2017,"The transformer architecture based on attention mechanisms is presented, enabling major advances in language models.",transformers; attention; deep learning,90000
Goodfellow I; Bengio Y,Deep learning foundations and applications,2016,The study explains deep learning architectures and their applications in complex prediction problems.,deep learning; neural networks; AI,60000
Zhang Y; Chen X,Predictive analytics for student success in higher education,2024,Predictive analytics helps institutions identify patterns related to persistence and academic success.,predictive analytics; student success; higher education,40
Márquez Vera C; Cano A,Early prediction of student dropout using data mining,2016,This research develops models to identify dropout risk using academic indicators and student information.,dropout; data mining; early warning,180
Hussain M; Zhu W,Student engagement prediction using machine learning,2019,Machine learning techniques are applied to analyze student engagement indicators and predict academic difficulties.,student engagement; machine learning; prediction,220
Alamri A; Alharbi M,Artificial intelligence for educational decision support systems,2022,AI based systems provide decision support by analyzing large educational datasets.,AI; decision support; education,75
Minaei Bidgoli B; Kashy DA,Predicting student outcomes with educational data mining,2017,Educational datasets are analyzed using predictive algorithms to identify future academic outcomes.,educational data mining; prediction; students,350
Feng M; Heffernan NT,Using data mining for personalized education,2013,Data mining methods support personalized learning strategies through analysis of student interaction data.,personalized learning; data mining; analytics,800
Kabra R; Bichkar R,Performance prediction using classification algorithms,2011,Classification algorithms are applied to educational data to improve prediction accuracy.,classification; academic performance,500
Huang S; Fang N,Predicting student academic performance in online learning,2013,The study explores predictive models for online learning environments using behavioral data.,online learning; prediction; machine learning,700
Yukselturk E; Ozekes S,Predictive analytics in online education,2014,Predictive approaches are used to understand learner behavior and improve retention strategies.,online education; analytics; retention,300
Kumar A; Singh R,Machine learning based student retention framework,2020,A machine learning framework is proposed to detect students requiring academic support.,retention; framework; machine learning,140
Chen X; Lin X,Big data analytics and artificial intelligence in education,2021,Big data and AI techniques are transforming educational management and student support systems.,big data; AI; education analytics,400
Romero C; Ventura S,Data mining in education: Current trends and future directions,2020,Educational data mining continues evolving with advanced machine learning approaches for discovering hidden patterns in student data.,educational data mining; trends; machine learning,500
Ramaswami M; Bhaskaran R,Artificial intelligence models for predicting academic performance,2018,The study applies artificial intelligence methods to predict academic performance and support educational planning.,artificial intelligence; academic performance; prediction,210
Khan B; Nawaz M,Predicting university dropout using classification techniques,2021,Classification algorithms are used to identify university students with high dropout probability.,dropout prediction; classification; university,95
Li N; Cohen WW,Machine learning approaches for educational analytics,2019,This research examines machine learning methods for analyzing educational data and improving institutional decisions.,educational analytics; machine learning; AI,260
Pérez T; Maldonado J,Early warning systems for higher education retention,2022,Early warning systems based on predictive models help universities identify students requiring support.,early warning systems; retention; prediction,80
Kaur P; Singh M,Artificial intelligence applications in higher education,2020,"Artificial intelligence applications are analyzed regarding their contribution to teaching, learning and institutional management.",AI; higher education; applications,700
Huang Y; Fang X,Deep learning for student behavior analysis,2023,Deep learning models are applied to analyze complex student behaviors and predict academic outcomes.,deep learning; student behavior; analytics,60
Al-Shammari M; Al-Mutairi A,Predicting academic failure using machine learning,2019,Machine learning algorithms identify students at risk of failure by analyzing historical academic records.,academic failure; machine learning; prediction,130
Moreno A; López J,Learning analytics approaches for dropout prevention,2024,Learning analytics techniques support dropout prevention by combining academic and behavioral indicators.,learning analytics; dropout prevention,35
Park S; Kim H,Student retention prediction with neural networks,2022,Neural networks are applied to predict student retention and detect patterns associated with withdrawal.,neural networks; retention; prediction,110
Baker RS; Inventado PS,Educational data mining and learning analytics,2014,The relationship between educational data mining and learning analytics is explored as a foundation for intelligent education systems.,EDM; learning analytics; intelligent systems,1200
Ferguson R,"Learning analytics: drivers, developments and challenges",2012,Learning analytics provides methods for understanding learning processes and improving educational decisions.,learning analytics; challenges; education,1700
Khalil M; Ebner M,Using learning analytics to support student success,2017,Learning analytics tools help institutions monitor student progress and provide targeted interventions.,student success; analytics; intervention,400
Lin C; Chen Y,Predictive modeling for university student dropout,2020,Predictive models are developed to estimate dropout risk using institutional datasets.,predictive modeling; dropout; university,160
Rahman M; Islam M,Machine learning approaches for educational prediction,2023,Different machine learning algorithms are evaluated for educational prediction tasks.,machine learning; educational prediction,70
Zhang W; Li J,Artificial intelligence and future education systems,2025,"AI technologies are transforming education through automation, personalization and predictive decision support.",AI; future education; personalization,25
Costa E; Fonseca B,Data-driven strategies for student retention,2021,Data driven approaches help universities design strategies to reduce dropout rates.,data driven; retention; higher education,100
Nguyen P; Tran T,Predicting student dropout using ensemble learning,2022,Ensemble learning techniques improve predictive performance in identifying students at risk of dropout.,ensemble learning; dropout prediction,90
Martínez R; Gómez A,Machine learning methods for academic risk detection,2018,The research compares machine learning methods for detecting academic risk factors.,academic risk; machine learning,190
Sharma S; Gupta R,Artificial intelligence based educational analytics framework,2024,An AI framework is proposed for analyzing student data and generating recommendations for institutions.,AI framework; educational analytics,45
Lee J; Park K,Natural language processing for scientific literature analysis,2021,Natural language processing methods are applied to extract knowledge from scientific documents.,NLP; text analysis; literature mining,300
Brown T; Smith R,Transformer models for text classification,2020,Transformer architectures improve text classification tasks by capturing contextual relationships.,transformers; text classification; NLP,1500
Wilson D; Carter L,Sentiment analysis using transformer models,2023,Transformer based models are applied to classify opinions and sentiments in large text collections.,sentiment analysis; transformers; NLP,80
Ahmed S; Khan R,Artificial intelligence adoption barriers in education,2022,The study analyzes organizational and ethical barriers affecting AI implementation in educational institutions.,AI adoption; barriers; education,60
García P; Torres M,Explainable artificial intelligence for educational decisions,2025,Explainable AI techniques improve transparency and trust in educational prediction models.,explainable AI; transparency; education,20
Santos J; Oliveira P,Machine learning for predicting student persistence,2021,This study applies machine learning models to predict student persistence and identify factors associated with academic continuity.,student persistence; machine learning; prediction,130
Kumar V; Singh P,Artificial intelligence driven student support systems,2023,AI driven support systems analyze student information to provide recommendations and improve academic outcomes.,artificial intelligence; support systems; education,55
Ali M; Hassan R,Predictive analytics for academic success in universities,2020,Predictive analytics methods are used to estimate academic success and detect possible learning difficulties.,predictive analytics; academic success,180
Chen L; Wang Y,Deep learning applications in educational data mining,2024,Deep learning techniques are increasingly used to process educational data and identify complex patterns.,deep learning; educational data mining,40
Roberts A; Taylor J,Student dropout prediction using artificial neural networks,2019,Artificial neural networks are evaluated as predictive models for identifying students likely to leave university.,neural networks; dropout prediction,210
Fernández M; Ruiz J,Learning analytics and artificial intelligence in higher education,2022,The integration of learning analytics and artificial intelligence enables personalized monitoring of student progress.,learning analytics; AI; higher education,95
Wang H; Liu Q,Machine learning based early intervention systems,2021,Predictive models support early interventions by identifying students requiring academic assistance.,early intervention; machine learning,150
González F; Pérez D,Educational data mining techniques for retention strategies,2018,Educational data mining provides information to develop institutional strategies for improving retention.,educational data mining; retention strategies,170
Kim S; Park J,Predicting university student withdrawal with data science,2023,Data science methods are applied to analyze student profiles and estimate withdrawal probability.,data science; withdrawal; prediction,65
Martin E; Clark B,Artificial intelligence and student success prediction models,2025,AI prediction models are investigated as tools for improving student success and reducing dropout rates.,AI; student success; prediction,30
Silva R; Costa M,Big data analytics in educational institutions,2017,Big data analytics enables universities to transform large datasets into actionable knowledge.,big data; analytics; education,450
Hernández A; López S,Machine learning classifiers for student risk detection,2020,Different classification algorithms are evaluated for detecting academic risk among university students.,classifiers; risk detection; machine learning,120
Patel N; Shah R,Predictive modeling approaches in higher education,2019,Predictive modeling approaches help universities understand student behavior and academic trajectories.,predictive modeling; higher education,260
Wong T; Chan K,Artificial intelligence applications for academic advising,2022,AI tools can support academic advising by identifying student needs and recommending interventions.,AI; academic advising; recommendation,85
Miller J; Adams R,Data mining methods for student achievement prediction,2016,The research applies data mining methods to estimate achievement levels using academic variables.,data mining; achievement prediction,300
Sánchez P; Díaz L,Machine learning and educational decision making,2024,Machine learning techniques provide evidence for improving educational planning and institutional decisions.,machine learning; decision making,35
Osei K; Boateng R,Predicting student attrition using ensemble methods,2021,Ensemble machine learning methods improve the identification of students at risk of attrition.,ensemble methods; attrition; prediction,140
Taylor M; Green P,Natural language processing for education analytics,2023,NLP methods are used to analyze educational documents and extract relevant information for decision making.,NLP; education analytics,90
Hassan A; Malik S,Transformer based models for educational text analysis,2022,Transformer models improve educational text analysis by capturing semantic relationships in documents.,transformers; text analysis; education,120
Zhao X; Liu Y,Explainable machine learning in education,2025,Explainable machine learning techniques increase trust and interpretability of educational prediction systems.,explainable ML; interpretability; education,25
Ramos D; Vega C,Artificial intelligence strategies for reducing dropout,2020,Artificial intelligence strategies are explored as tools to reduce university dropout through early identification.,AI strategies; dropout reduction,110
Johnson K; Moore L,Student performance prediction using supervised learning,2018,Supervised learning algorithms are used to predict student performance based on historical information.,supervised learning; performance prediction,350
Nair P; Thomas G,Learning analytics dashboards for student monitoring,2021,Learning analytics dashboards provide visual information to monitor student progress and identify risk factors.,dashboards; learning analytics; monitoring,160
Brown J; Wilson S,Data driven approaches to improve university retention,2022,Data driven approaches support retention policies through analysis of student behavior and academic records.,data driven; retention; policies,100
Mendoza R; Castillo A,Artificial intelligence adoption in higher education,2024,This research examines the opportunities and challenges associated with AI implementation in universities.,AI adoption; higher education; challenges,75
Keller J; Evans R,Machine learning models for educational forecasting,2019,Machine learning models are applied to forecast educational outcomes and support institutional planning.,forecasting; machine learning; education,220
Davis R; Miller P,Artificial intelligence for improving student retention,2023,Artificial intelligence tools are used to analyze academic information and improve institutional strategies for student retention.,AI; retention; higher education,70
Ali S; Rahman T,Machine learning based academic risk prediction,2020,The study develops predictive models to identify academic risk factors using historical student information.,machine learning; academic risk; prediction,180
Kwon H; Lee J,Deep learning approaches for educational prediction,2024,Deep learning architectures are investigated for predicting educational outcomes from complex student datasets.,deep learning; prediction; education,50
Martínez J; Romero P,Learning analytics applications in universities,2018,Learning analytics applications allow universities to monitor student activities and improve educational interventions.,learning analytics; universities; intervention,400
Thomas R; Williams K,Predictive systems for university dropout prevention,2021,Predictive systems are designed to detect dropout risk and support timely institutional responses.,predictive systems; dropout prevention,140
Park Y; Kim D,Artificial intelligence and personalized learning environments,2022,AI techniques enable personalized learning environments by adapting educational processes to student needs.,AI; personalized learning; education,120
Singh A; Kumar P,Educational data mining approaches for student classification,2019,Educational data mining methods are used to classify students according to academic characteristics and risk levels.,EDM; classification; students,230
Lopez G; Herrera M,Machine learning applications in academic advising,2023,Machine learning techniques support academic advising by identifying patterns in student progress.,machine learning; academic advising,65
Chen J; Zhou W,Data science methods for student success prediction,2025,Data science methods provide predictive insights that help universities improve student success initiatives.,data science; student success,25
Foster R; Hill S,Early detection of academic failure using AI,2020,AI based models are applied for early detection of academic failure and targeted support.,AI; academic failure; early detection,150
Gutiérrez L; Moreno A,Predictive analytics and university management,2022,Predictive analytics supports university management by transforming educational data into strategic information.,predictive analytics; management; universities,90
Wilson P; Carter J,Transformer architectures for educational text mining,2024,Transformer architectures improve educational text mining through contextual analysis of large document collections.,transformers; text mining; NLP,45
Ahmed R; Khan M,Sentiment analysis of educational research documents,2021,Sentiment analysis techniques are applied to classify opinions and trends in educational research literature.,sentiment analysis; NLP; education,130
Garcia J; Torres P,Natural language processing for scientific mapping,2023,NLP methods support scientific mapping by extracting concepts and relationships from academic texts.,NLP; bibliometrics; scientific mapping,80
Morris A; Clark D,Artificial intelligence ethics in educational systems,2025,The study analyzes ethical considerations related to artificial intelligence adoption in education.,AI ethics; education; adoption,35
Rossi F; Bianchi L,Machine learning and higher education transformation,2022,Machine learning contributes to higher education transformation through automated analysis and decision support.,machine learning; transformation; higher education,100
Ahmed S; Patel R,Student dropout prediction using ensemble classifiers,2020,Ensemble classifiers are evaluated for predicting university dropout using multiple student variables.,ensemble classifiers; dropout prediction,160
Nakamura H; Ito K,Learning analytics for academic intervention strategies,2019,Learning analytics enables institutions to identify intervention opportunities and improve academic support.,learning analytics; intervention,200
Vargas M; Salazar C,Artificial intelligence models for educational forecasting,2024,AI models are applied to forecast student outcomes and support strategic educational decisions.,AI models; forecasting; education,55
White J; Anderson B,Machine learning based retention frameworks,2021,Retention frameworks based on machine learning provide methods for identifying vulnerable student groups.,retention; machine learning; frameworks,120
Kumar S; Verma R,Predictive modeling of student behavior using AI,2023,Predictive modeling techniques analyze student behavior patterns and estimate future academic outcomes.,predictive modeling; student behavior,75
Fernández P; Castillo J,Big data and artificial intelligence in universities,2020,The integration of big data and artificial intelligence improves institutional analytics capabilities.,big data; AI; universities,300
Young D; Stewart M,Automated analysis of educational data with machine learning,2018,Automated educational data analysis allows institutions to discover patterns and improve decision making.,automation; educational data; machine learning,250
Navarro R; Ruiz E,Explainable AI for student risk identification,2025,Explainable AI improves transparency of predictive models used to identify students at academic risk.,explainable AI; student risk,30
Miller K; Thompson J,Future trends in artificial intelligence for education,2026,The study explores future directions of artificial intelligence in education including predictive analytics and intelligent systems.,future AI; education; trends,15
